cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg14395885,chr9:127938644-127938645 - 2bp, 1CpGs: 14798606-14798607
cg21181453,chr9:127938675-127938676 - 2bp, 1CpGs: 14798609-14798610
cg00769843,chr11:63986981-63986982 - 2bp, 1CpGs: 17045458-17045459
cg07218880,chr13:114280804-114280805 - 2bp, 1CpGs: 19918197-19918198
cg06889535,chr11:126585817-126585818 - 2bp, 1CpGs: 17669248-17669249
cg01377358,chr20:32360408-32360409 - 2bp, 1CpGs: 26305559-26305560
cg11025609,chr12:110289267-110289268 - 2bp, 1CpGs: 18734137-18734138
cg01726273,chr2:70133018-70133019 - 2bp, 1CpGs: 3047696-3047697
cg15185986,chr13:98267124-98267125 - 2bp, 1CpGs: 19724326-19724327
cg06375761,chr6:33312631-33312632 - 2bp, 1CpGs: 9684327-9684328
cg13638257,chr6:33312659-33312660 - 2bp, 1CpGs: 9684329-9684330
cg14419102,chr6:33312623-33312624 - 2bp, 1CpGs: 9684326-9684327
cg18353226,chr6:33312613-33312614 - 2bp, 1CpGs: 9684324-9684325
cg26083458,chr6:33312647-33312648 - 2bp, 1CpGs: 9684328-9684329
cg15575375,chr1:61184301-61184302 - 2bp, 1CpGs: 860613-860614
cg07438103,chr11:47153592-47153593 - 2bp, 1CpGs: 16870222-16870223
cg16988611,chr10:80465190-80465191 - 2bp, 1CpGs: 15848366-15848367
cg16017089,chr11:73342785-73342786 - 2bp, 1CpGs: 17219943-17219944
cg08659179,chr5:27038600-27038601 - 2bp, 1CpGs: 8008665-8008666
cg16306706,chr1:42177603-42177604 - 2bp, 1CpGs: 672844-672845
cg16829306,chr1:21345015-21345016 - 2bp, 1CpGs: 382395-382396
cg12461469,chr3:149812554-149812555 - 2bp, 1CpGs: 5828715-5828716
cg13512830,chr3:149812507-149812508 - 2bp, 1CpGs: 5828711-5828712
cg08662757,chr11:67303496-67303497 - 2bp, 1CpGs: 17118062-17118063
cg14344261,chr9:36986383-36986384 - 2bp, 1CpGs: 14074644-14074645
cg13910860,chr9:36986410-36986411 - 2bp, 1CpGs: 14074648-14074649
cg14317609,chr9:36986009-36986010 - 2bp, 1CpGs: 14074587-14074588
cg06671450,chr9:36985990-36985991 - 2bp, 1CpGs: 14074583-14074584
cg19697530,chr11:115504353-115504354 - 2bp, 1CpGs: 17538174-17538175
cg09097345,chr22:24806119-24806120 - 2bp, 1CpGs: 27420374-27420375
cg11033835,chr3:77038709-77038710 - 2bp, 1CpGs: 5265443-5265444
cg19176391,chr11:67303289-67303290 - 2bp, 1CpGs: 17118042-17118043
cg25915131,chr11:67303285-67303286 - 2bp, 1CpGs: 17118041-17118042
cg16802508,chr11:67303267-67303268 - 2bp, 1CpGs: 17118038-17118039
cg25753024,chr11:67303442-67303443 - 2bp, 1CpGs: 17118057-17118058
cg05289892,chr11:67303345-67303346 - 2bp, 1CpGs: 17118045-17118046
cg24704730,chr17:43983960-43983961 - 2bp, 1CpGs: 23542720-23542721
cg26059153,chr20:13995544-13995545 - 2bp, 1CpGs: 26114596-26114597
cg06571075,chr20:13995497-13995498 - 2bp, 1CpGs: 26114592-26114593
cg13650938,chr19:2579077-2579078 - 2bp, 1CpGs: 24969183-24969184
cg22451233,chr4:156971613-156971614 - 2bp, 1CpGs: 7465026-7465027
cg24634420,chr4:156971596-156971597 - 2bp, 1CpGs: 7465023-7465024
cg20937139,chr4:156971606-156971607 - 2bp, 1CpGs: 7465025-7465026
cg17364114,chr6:160348327-160348328 - 2bp, 1CpGs: 10685779-10685780
cg10700424,chr11:134332058-134332059 - 2bp, 1CpGs: 17750482-17750483
cg07759394,chr11:134332060-134332061 - 2bp, 1CpGs: 17750483-17750484
cg23919479,chr14:37198056-37198057 - 2bp, 1CpGs: 20119916-20119917
cg22079161,chr4:7938852-7938853 - 2bp, 1CpGs: 6394628-6394629
cg13673164,chr1:109466887-109466888 - 2bp, 1CpGs: 1198619-1198620
cg08915603,chr4:186555415-186555416 - 2bp, 1CpGs: 7700827-7700828
cg09473510,chr4:186555419-186555420 - 2bp, 1CpGs: 7700828-7700829
cg21918126,chr14:79279128-79279129 - 2bp, 1CpGs: 20483778-20483779
cg13920435,chr9:87974725-87974726 - 2bp, 1CpGs: 14392778-14392779
cg16357921,chr9:87974719-87974720 - 2bp, 1CpGs: 14392777-14392778
cg20536983,chr8:13276657-13276658 - 2bp, 1CpGs: 12626532-12626533
cg03304380,chr8:13276635-13276636 - 2bp, 1CpGs: 12626530-12626531
cg05191076,chr4:65670468-65670469 - 2bp, 1CpGs: 6847938-6847939
cg17426273,chr10:21173512-21173513 - 2bp, 1CpGs: 15285849-15285850
cg08564661,chr10:122374269-122374270 - 2bp, 1CpGs: 16245094-16245095
cg03205140,chr10:122374286-122374287 - 2bp, 1CpGs: 16245096-16245097
cg10576280,chr10:122374306-122374307 - 2bp, 1CpGs: 16245097-16245098
cg03287340,chr19:50147938-50147939 - 2bp, 1CpGs: 25828079-25828080
cg12585966,chr19:17539200-17539201 - 2bp, 1CpGs: 25297622-25297623
cg02458065,chr19:52095400-52095401 - 2bp, 1CpGs: 25862030-25862031
cg24333845,chr3:152299017-152299018 - 2bp, 1CpGs: 5847558-5847559
cg05884394,chr7:90119357-90119358 - 2bp, 1CpGs: 11757184-11757185
cg03098837,chr7:90119372-90119373 - 2bp, 1CpGs: 11757187-11757188
cg24617568,chr7:90119333-90119334 - 2bp, 1CpGs: 11757182-11757183
cg05446424,chr2:14632610-14632611 - 2bp, 1CpGs: 2547505-2547506
cg05403555,chr2:75199962-75199963 - 2bp, 1CpGs: 3105179-3105180
cg04053392,chr6:168319825-168319826 - 2bp, 1CpGs: 10781695-10781696
cg11238048,chr6:168319807-168319808 - 2bp, 1CpGs: 10781691-10781692
cg24416513,chr2:176130036-176130037 - 2bp, 1CpGs: 3958817-3958818
cg06906472,chr2:106886345-106886346 - 2bp, 1CpGs: 3391178-3391179
cg18778433,chr11:12377629-12377630 - 2bp, 1CpGs: 16599033-16599034
cg12535280,chr11:12377951-12377952 - 2bp, 1CpGs: 16599075-16599076
cg05602862,chr2:14634922-14634923 - 2bp, 1CpGs: 2547670-2547671
cg00604209,chr5:147235033-147235034 - 2bp, 1CpGs: 8951483-8951484
cg08915603,chr4:186555415-186555416 - 2bp, 1CpGs: 7700827-7700828
cg09473510,chr4:186555419-186555420 - 2bp, 1CpGs: 7700828-7700829
cg24636477,chr10:47300132-47300133 - 2bp, 1CpGs: 15560276-15560277
cg01244944,chr4:186723964-186723965 - 2bp, 1CpGs: 7703504-7703505
cg27475132,chr4:186723966-186723967 - 2bp, 1CpGs: 7703505-7703506
cg24410535,chr4:186723990-186723991 - 2bp, 1CpGs: 7703509-7703510
cg25191850,chr1:233613887-233613888 - 2bp, 1CpGs: 2210822-2210823
cg20947082,chr1:233613897-233613898 - 2bp, 1CpGs: 2210823-2210824
cg18301891,chr14:101560835-101560836 - 2bp, 1CpGs: 20709507-20709508
cg01277542,chr16:55655989-55655990 - 2bp, 1CpGs: 22405736-22405737
cg10362591,chr16:55655953-55655954 - 2bp, 1CpGs: 22405733-22405734
cg14060111,chr20:13220297-13220298 - 2bp, 1CpGs: 26107936-26107937
cg09491991,chr20:13220333-13220334 - 2bp, 1CpGs: 26107940-26107941
cg25796439,chr20:13220292-13220293 - 2bp, 1CpGs: 26107935-26107936
cg04432319,chr20:13220284-13220285 - 2bp, 1CpGs: 26107934-26107935
cg12664209,chr20:13220307-13220308 - 2bp, 1CpGs: 26107937-26107938
cg25998402,chr5:174724495-174724496 - 2bp, 1CpGs: 9195742-9195743
cg17156565,chr5:174724489-174724490 - 2bp, 1CpGs: 9195741-9195742
cg20478129,chr14:26598166-26598167 - 2bp, 1CpGs: 20034575-20034576
cg16248329,chr4:186723585-186723586 - 2bp, 1CpGs: 7703442-7703443
cg10700424,chr11:134332058-134332059 - 2bp, 1CpGs: 17750482-17750483
cg07759394,chr11:134332060-134332061 - 2bp, 1CpGs: 17750483-17750484
cg05251676,chr5:38258782-38258783 - 2bp, 1CpGs: 8095767-8095768
cg01552272,chr20:13995450-13995451 - 2bp, 1CpGs: 26114587-26114588
cg04624110,chr20:13995447-13995448 - 2bp, 1CpGs: 26114586-26114587
cg23169957,chr20:13995460-13995461 - 2bp, 1CpGs: 26114588-26114589
cg25557432,chr20:13995471-13995472 - 2bp, 1CpGs: 26114589-26114590
cg04716990,chr20:13995480-13995481 - 2bp, 1CpGs: 26114590-26114591
cg06571075,chr20:13995497-13995498 - 2bp, 1CpGs: 26114592-26114593
cg01552272,chr20:13995450-13995451 - 2bp, 1CpGs: 26114587-26114588
cg04624110,chr20:13995447-13995448 - 2bp, 1CpGs: 26114586-26114587
cg23169957,chr20:13995460-13995461 - 2bp, 1CpGs: 26114588-26114589
cg25557432,chr20:13995471-13995472 - 2bp, 1CpGs: 26114589-26114590
cg04716990,chr20:13995480-13995481 - 2bp, 1CpGs: 26114590-26114591
cg06571075,chr20:13995497-13995498 - 2bp, 1CpGs: 26114592-26114593
cg04925858,chr14:77033204-77033205 - 2bp, 1CpGs: 20462270-20462271
cg09082903,chr4:163332055-163332056 - 2bp, 1CpGs: 7506931-7506932
cg18932726,chr10:126905572-126905573 - 2bp, 1CpGs: 16302494-16302495
cg05608777,chr10:126905575-126905576 - 2bp, 1CpGs: 16302495-16302496
cg11183632,chr20:21522514-21522515 - 2bp, 1CpGs: 26182636-26182637
cg20809378,chr11:43548005-43548006 - 2bp, 1CpGs: 16825915-16825916
cg14060111,chr20:13220297-13220298 - 2bp, 1CpGs: 26107936-26107937
cg09491991,chr20:13220333-13220334 - 2bp, 1CpGs: 26107940-26107941
cg25796439,chr20:13220292-13220293 - 2bp, 1CpGs: 26107935-26107936
cg04432319,chr20:13220284-13220285 - 2bp, 1CpGs: 26107934-26107935
cg12664209,chr20:13220307-13220308 - 2bp, 1CpGs: 26107937-26107938
cg09912350,chr4:155667174-155667175 - 2bp, 1CpGs: 7456618-7456619
cg21426003,chr2:236168168-236168169 - 2bp, 1CpGs: 4459371-4459372
cg19761848,chr2:236168172-236168173 - 2bp, 1CpGs: 4459372-4459373
cg13985485,chr1:239386983-239386984 - 2bp, 1CpGs: 2271263-2271264
cg13570831,chr1:239387003-239387004 - 2bp, 1CpGs: 2271266-2271267
cg19358877,chr19:56507910-56507911 - 2bp, 1CpGs: 25947444-25947445
cg03735496,chr18:21242676-21242677 - 2bp, 1CpGs: 24362178-24362179
cg10276227,chr19:33194911-33194912 - 2bp, 1CpGs: 25513744-25513745
cg14326196,chr9:114098370-114098371 - 2bp, 1CpGs: 14652617-14652618
cg12894649,chr20:11890748-11890749 - 2bp, 1CpGs: 26099144-26099145
cg23944804,chr20:11890736-11890737 - 2bp, 1CpGs: 26099143-26099144
cg14603345,chr20:11890727-11890728 - 2bp, 1CpGs: 26099142-26099143
cg14060111,chr20:13220297-13220298 - 2bp, 1CpGs: 26107936-26107937
cg09491991,chr20:13220333-13220334 - 2bp, 1CpGs: 26107940-26107941
cg25796439,chr20:13220292-13220293 - 2bp, 1CpGs: 26107935-26107936
cg04432319,chr20:13220284-13220285 - 2bp, 1CpGs: 26107934-26107935
cg12664209,chr20:13220307-13220308 - 2bp, 1CpGs: 26107937-26107938
cg19811761,chr19:56507653-56507654 - 2bp, 1CpGs: 25947420-25947421
cg00674365,chr19:56507700-56507701 - 2bp, 1CpGs: 25947425-25947426
cg14255256,chr2:46465-46466 - 2bp, 1CpGs: 2375755-2375756
cg03242819,chr10:127196168-127196169 - 2bp, 1CpGs: 16306754-16306755
cg19429281,chr19:52993485-52993486 - 2bp, 1CpGs: 25875601-25875602
cg14344261,chr9:36986383-36986384 - 2bp, 1CpGs: 14074644-14074645
cg13910860,chr9:36986410-36986411 - 2bp, 1CpGs: 14074648-14074649
cg26422161,chr6:1312976-1312977 - 2bp, 1CpGs: 9327940-9327941
cg18804985,chr4:74099509-74099510 - 2bp, 1CpGs: 6900067-6900068
cg23244559,chr4:74099545-74099546 - 2bp, 1CpGs: 6900070-6900071
cg27113059,chr18:49561878-49561879 - 2bp, 1CpGs: 24584470-24584471
cg16652741,chr2:218960578-218960579 - 2bp, 1CpGs: 4278568-4278569
cg18932726,chr10:126905572-126905573 - 2bp, 1CpGs: 16302494-16302495
cg05608777,chr10:126905575-126905576 - 2bp, 1CpGs: 16302495-16302496
cg00212988,chr10:93566554-93566555 - 2bp, 1CpGs: 15953096-15953097
cg23654127,chr10:93566556-93566557 - 2bp, 1CpGs: 15953097-15953098
cg01552272,chr20:13995450-13995451 - 2bp, 1CpGs: 26114587-26114588
cg04624110,chr20:13995447-13995448 - 2bp, 1CpGs: 26114586-26114587
cg23169957,chr20:13995460-13995461 - 2bp, 1CpGs: 26114588-26114589
cg25557432,chr20:13995471-13995472 - 2bp, 1CpGs: 26114589-26114590
cg04716990,chr20:13995480-13995481 - 2bp, 1CpGs: 26114590-26114591
cg26059153,chr20:13995544-13995545 - 2bp, 1CpGs: 26114596-26114597
cg06571075,chr20:13995497-13995498 - 2bp, 1CpGs: 26114592-26114593
cg27166993,chr12:71439251-71439252 - 2bp, 1CpGs: 18442792-18442793
cg05502701,chr3:73625009-73625010 - 2bp, 1CpGs: 5240102-5240103
cg24353443,chr3:73625015-73625016 - 2bp, 1CpGs: 5240104-5240105
cg10111115,chr3:73624995-73624996 - 2bp, 1CpGs: 5240099-5240100
cg14473924,chr3:73625019-73625020 - 2bp, 1CpGs: 5240105-5240106
cg10755973,chr9:124011600-124011601 - 2bp, 1CpGs: 14739545-14739546
cg08675717,chr20:59605186-59605187 - 2bp, 1CpGs: 26650850-26650851
cg13330559,chr17:11240726-11240727 - 2bp, 1CpGs: 23080927-23080928
cg21599230,chr4:117085463-117085464 - 2bp, 1CpGs: 7191416-7191417
cg18314424,chr4:183797452-183797453 - 2bp, 1CpGs: 7664067-7664068
cg27051931,chr18:31101999-31102000 - 2bp, 1CpGs: 24443166-24443167
cg02487453,chr22:30802737-30802738 - 2bp, 1CpGs: 27498628-27498629
cg02422426,chr4:182448906-182448907 - 2bp, 1CpGs: 7646329-7646330
cg13524302,chr6:33117021-33117022 - 2bp, 1CpGs: 9680923-9680924
cg23075555,chr6:33117012-33117013 - 2bp, 1CpGs: 9680922-9680923
cg24465429,chr6:33117048-33117049 - 2bp, 1CpGs: 9680925-9680926
cg02662362,chr6:33117037-33117038 - 2bp, 1CpGs: 9680924-9680925
cg17833071,chr6:33116993-33116994 - 2bp, 1CpGs: 9680920-9680921
cg24266485,chr6:33117063-33117064 - 2bp, 1CpGs: 9680926-9680927
cg06781135,chr6:27020362-27020363 - 2bp, 1CpGs: 9599068-9599069
cg11369071,chr6:27020369-27020370 - 2bp, 1CpGs: 9599069-9599070
cg14051842,chr6:27020408-27020409 - 2bp, 1CpGs: 9599073-9599074
cg12272837,chr19:291315-291316 - 2bp, 1CpGs: 24879508-24879509
cg02935627,chr19:291306-291307 - 2bp, 1CpGs: 24879507-24879508
cg12835048,chr10:121598092-121598093 - 2bp, 1CpGs: 16234203-16234204
cg09880551,chr21:40847006-40847007 - 2bp, 1CpGs: 27094641-27094642
cg21173447,chr21:40847038-40847039 - 2bp, 1CpGs: 27094645-27094646
cg25591794,chr13:27980705-27980706 - 2bp, 1CpGs: 19222904-19222905
cg13524302,chr6:33117021-33117022 - 2bp, 1CpGs: 9680923-9680924
cg23075555,chr6:33117012-33117013 - 2bp, 1CpGs: 9680922-9680923
cg24465429,chr6:33117048-33117049 - 2bp, 1CpGs: 9680925-9680926
cg02662362,chr6:33117037-33117038 - 2bp, 1CpGs: 9680924-9680925
cg17833071,chr6:33116993-33116994 - 2bp, 1CpGs: 9680920-9680921
cg24266485,chr6:33117063-33117064 - 2bp, 1CpGs: 9680926-9680927
cg14060111,chr20:13220297-13220298 - 2bp, 1CpGs: 26107936-26107937
cg09491991,chr20:13220333-13220334 - 2bp, 1CpGs: 26107940-26107941
cg25796439,chr20:13220292-13220293 - 2bp, 1CpGs: 26107935-26107936
cg04432319,chr20:13220284-13220285 - 2bp, 1CpGs: 26107934-26107935
cg12664209,chr20:13220307-13220308 - 2bp, 1CpGs: 26107937-26107938
cg02910208,chr7:54542329-54542330 - 2bp, 1CpGs: 11381550-11381551
cg14487131,chr9:77018821-77018822 - 2bp, 1CpGs: 14300732-14300733
cg24531022,chr5:102866121-102866122 - 2bp, 1CpGs: 8599282-8599283
cg15085899,chr12:124518518-124518519 - 2bp, 1CpGs: 18938856-18938857
cg12034678,chr1:41516356-41516357 - 2bp, 1CpGs: 666304-666305
cg05412028,chr13:95300683-95300684 - 2bp, 1CpGs: 19698560-19698561
cg26685941,chr13:95300648-95300649 - 2bp, 1CpGs: 19698557-19698558
cg02003159,chr12:107317837-107317838 - 2bp, 1CpGs: 18696912-18696913
cg24124443,chr12:107317871-107317872 - 2bp, 1CpGs: 18696915-18696916
cg03384992,chr18:24272361-24272362 - 2bp, 1CpGs: 24395909-24395910
cg06593258,chr18:24272369-24272370 - 2bp, 1CpGs: 24395911-24395912
cg26398656,chr18:24272363-24272364 - 2bp, 1CpGs: 24395910-24395911
cg11006267,chr5:139637839-139637840 - 2bp, 1CpGs: 8876700-8876701
cg02983950,chr1:38476548-38476549 - 2bp, 1CpGs: 626485-626486
cg14873488,chr14:39266421-39266422 - 2bp, 1CpGs: 20134325-20134326
cg00349895,chr4:153152349-153152350 - 2bp, 1CpGs: 7437061-7437062
cg01022974,chr4:153152328-153152329 - 2bp, 1CpGs: 7437059-7437060
cg05164926,chr17:7352305-7352306 - 2bp, 1CpGs: 23017922-23017923
cg18213545,chr11:57761928-57761929 - 2bp, 1CpGs: 16970273-16970274
cg10831212,chr11:57761947-57761948 - 2bp, 1CpGs: 16970274-16970275
cg19210276,chr11:57761993-57761994 - 2bp, 1CpGs: 16970275-16970276
