#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270736.1	1	181920	3037	170072	93.4872	174.934	41.8	21.2
KI270733.1	1	179772	9175	179640	99.9266	431.181	40.4	21.3
GL000224.1	1	179693	3719	179693	100	187.884	43.2	44.2
GL000219.1	1	179198	1113	179194	99.9978	58.0728	44.5	53.3
KI270719.1	1	176845	879	176844	99.9994	45.823	42.7	40.4
GL000216.2	1	176608	3678	176479	99.927	141.599	43.3	28.4
KI270712.1	1	176043	516	175914	99.9267	19.9608	43.6	32.5
KI270706.1	1	175055	711	175054	99.9994	38.5902	44	48.7
KI270725.1	1	172810	773	172810	100	42.6985	42.6	50.7
KI270744.1	1	168472	2582	168472	100	95.0569	43.1	35.6
KI270734.1	1	165050	1443	165029	99.9873	51.1285	45.3	20
GL000213.1	1	164239	167	160458	97.6979	10.4947	45.4	34
GL000220.1	1	161802	12153	147850	91.3771	806.764	41.4	13.1
KI270715.1	1	161471	351	161471	100	21.8622	43.9	18.8
GL000218.1	1	161147	933	161147	100	58.0096	43.9	47.7
KI270749.1	1	158759	962	158759	100	59.0699	42	55
KI270741.1	1	157432	177	149022	94.658	10.2639	44.9	17.8
GL000221.1	1	155397	1020	155397	100	71.3077	45.1	19.6
KI270716.1	1	153799	557	153799	100	52.9677	44.2	12.8
KI270731.1	1	150754	459	150745	99.994	27.8671	44	24.7
KI270751.1	1	150742	1537	150742	100	93.8701	43.3	33.8
KI270750.1	1	148850	898	148849	99.9993	54.7399	43.8	44.5
KI270519.1	1	138126	1060	138000	99.9088	72.1719	43.2	44.2
GL000214.1	1	137718	2354	137718	100	176.249	43.5	32.9
KI270708.1	1	127682	370	127682	100	30.5103	44.3	53
KI270730.1	1	112551	980	107506	95.5176	77.3691	43	28.9
KI270438.1	1	112505	19745	84230	74.8678	1653.49	43	32.3
KI270737.1	1	103838	275	103500	99.6745	22.2575	43	36.6
KI270721.1	1	100316	132	96453	96.1492	10.6222	41	8.48
KI270738.1	1	99375	540	96192	96.797	43.8671	43.7	43
KI270748.1	1	93321	228	92876	99.5232	25.4564	43.6	25.7
KI270435.1	1	92983	706	92965	99.9806	62.2988	44.4	47.7
GL000208.1	1	92689	531	92689	100	50.9652	45.6	50.9
KI270538.1	1	91309	872	64520	70.6612	80.0669	44.8	47.8
KI270756.1	1	79590	655	79590	100	55.745	43.1	25.4
KI270739.1	1	73985	69	65653	88.7383	6.97468	41.4	23.9
KI270757.1	1	71251	1026	62025	87.0514	131.188	42.8	41.2
KI270709.1	1	66860	5654	66860	100	761.488	49	30.3
KI270746.1	1	66486	693	66486	100	93.4706	43.2	53.6
KI270753.1	1	62944	309	62901	99.9317	45.2957	44.5	38
KI270589.1	1	44474	175	35450	79.7095	20.2723	44.6	28.9
KI270726.1	1	43739	94	43739	100	16.1933	44.5	54.4
KI270735.1	1	42811	488	42811	100	105.337	42.5	47.2
KI270711.1	1	42210	310	42208	99.9953	46.897	44	41.4
KI270745.1	1	41891	70	41554	99.1955	11.2136	45.3	30.4
KI270714.1	1	41717	119	41717	100	22.4616	44.1	45
KI270732.1	1	41543	319	41542	99.9976	77.0196	43.8	51.8
KI270713.1	1	40745	235	40745	100	38.4218	43.3	43.3
KI270754.1	1	40191	623	40191	100	160.736	42.9	28
KI270710.1	1	40176	189	40176	100	43.3988	43.3	46.8
KI270717.1	1	40062	79	40060	99.995	18.4965	43.3	33
KI270724.1	1	39555	325	39555	100	53.9118	43.2	41.9
KI270720.1	1	39050	151	39049	99.9974	25.4331	44.4	48.5
KI270723.1	1	38115	302	38115	100	58.2661	43.4	42.6
KI270718.1	1	38054	267	38054	100	52.7069	45.9	25.3
KI270317.1	1	37690	4	2092	5.55054	0.123959	32.6	10.2
KI270740.1	1	37240	7	36938	99.189	2.06829	44.4	50
KI270755.1	1	36723	55	33593	91.4767	11.4677	45.2	40.7
KI270707.1	1	32032	94	32032	100	26.1057	45.5	48.4
KI270579.1	1	31033	60	31033	100	18.0887	44.3	17.5
KI270512.1	1	22689	141	22687	99.9912	39.9026	45	48.8
KI270322.1	1	21476	14	6280	29.2419	0.910086	41.3	30.9
GL000226.1	1	15008	1653	15008	100	832.445	44.6	5.91
KI270311.1	1	12399	7	2963	23.8971	0.538592	43.2	23.9
KI270366.1	1	8320	3	5937	71.3582	0.713582	44	14
KI270511.1	1	8127	71	8125	99.9754	41.788	43.7	55.3
KI270448.1	1	7992	46	7992	100	31.3763	43.8	56
KI270521.1	1	7642	31	7642	100	21.117	42.4	49.5
KI270581.1	1	7046	8	7041	99.929	3.28328	40.4	17.2
KI270582.1	1	6504	14	6195	95.2491	6.22555	45.6	44.6
KI270515.1	1	6361	107	6361	100	60.081	42.5	52.2
KI270588.1	1	6158	28	6154	99.935	10.4078	39.4	43.8
KI270591.1	1	5796	57	5796	100	34.6725	42.1	48.4
KI270522.1	1	5674	15	5664	99.8238	7.63676	41.3	52
KI270507.1	1	5353	21	5353	100	8.02074	41	48.5
KI270590.1	1	4685	56	4684	99.9787	27.8096	42.9	49.4
KI270584.1	1	4513	17	4513	100	9.2721	43.8	49.5
KI270320.1	1	4416	33	4416	100	17.029	43.2	28.5
KI270382.1	1	4215	5	4209	99.8577	1.95397	45.9	46
KI270468.1	1	4055	25	4055	100	16.0395	44.5	56.6
KI270467.1	1	3920	12593	3920	100	8501.17	42.9	46.9
KI270362.1	1	3530	1	3152	89.2918	0.892918	49.2	20
KI270517.1	1	3253	30	3253	100	18.5211	40.6	52.8
KI270593.1	1	3041	8	3041	100	4.01973	42.7	32.6
KI270528.1	1	2983	32	2892	96.9494	4.73181	38.8	18.7
KI270587.1	1	2969	6	2966	99.899	3.33749	44.5	36.7
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	2033	2699	100	1233.09	43.7	30.9
KI270374.1	1	2656	1	2070	77.9367	0.779367	37.6	15
KI270411.1	1	2646	4	2197	83.031	1.53023	48.8	42.5
KI270414.1	1	2489	3	1861	74.769	0.994375	42.3	26.3
KI270510.1	1	2415	16	2415	100	12.8489	38.5	22.1
KI270390.1	1	2387	1	1934	81.0222	0.810222	46.2	1
KI270375.1	1	2378	3	2358	99.159	1.23507	45	11.7
KI270420.1	1	2321	5	2321	100	2.2486	45.7	24.6
KI270509.1	1	2318	11	2318	100	7.41415	44	52
KI270302.1	1	2274	1	726	31.9261	0.319261	51.9	27
KI270518.1	1	2186	10	2186	100	6.11299	36.1	36.6
KI270530.1	1	2168	3	2168	100	2.28137	40.6	11.7
KI270304.1	1	2165	1	621	28.6836	0.286836	46.3	38
KI270418.1	1	2145	4	2051	95.6177	2.07226	40.2	18
KI270424.1	1	2140	2	1887	88.1776	1.75981	48.1	60
KI270417.1	1	2043	9	2043	100	4.33431	48.3	56
KI270508.1	1	1951	7	1951	100	4.51102	44.4	56.7
KI270303.1	1	1942	7	1940	99.897	4.20031	40.2	20.3
KI270381.1	1	1930	5	1930	100	2.59326	48.1	4.2
KI270529.1	1	1899	11	1899	100	3.95629	45.1	26.6
KI270396.1	1	1880	3	1875	99.734	1.57713	50.1	13.3
KI270363.1	1	1803	2	1161	64.3927	0.833611	49.4	22
KI270386.1	1	1788	3	1519	84.9553	1.20358	43.6	28.7
KI270465.1	1	1774	10	1773	99.9436	4.00338	46.1	28.7
KI270384.1	1	1658	1	460	27.7443	0.277443	32.3	30
KI270330.1	1	1652	61	1652	100	29.8735	43.5	34.8
KI270580.1	1	1553	5	1331	85.7051	2.2492	50.3	40.6
KI270391.1	1	1484	1	324	21.8329	0.218329	34.8	1
KI270305.1	1	1472	1	340	23.0978	0.230978	44.4	59
KI270422.1	1	1445	1	842	58.2699	0.582699	41.9	1
KI270316.1	1	1444	1	397	27.4931	0.274931	33.8	1
KI270340.1	1	1428	11	1428	100	5.51401	49.8	22.5
KI270338.1	1	1428	1	1387	97.1289	0.971289	48.4	1
KI270583.1	1	1400	4	1397	99.7857	2.01214	52.8	43
KI270334.1	1	1368	7	1368	100	5.95906	44.8	28.4
KI270429.1	1	1361	1	658	48.3468	0.483468	47.7	12
KI270393.1	1	1308	1	879	67.2018	0.672018	49.8	49
KI270516.1	1	1300	39	1300	100	33.9938	39.5	57.1
KI270466.1	1	1233	1111	1233	100	711.485	43	39.5
KI270388.1	1	1216	2	507	41.6941	0.554276	43.3	0
KI270544.1	1	1202	7	898	74.7088	2.99002	46.2	7.14
KI270310.1	1	1201	2	1084	90.2581	1.05329	47	1
KI270412.1	1	1179	1	1067	90.5004	0.905004	48.3	60
KI270395.1	1	1143	4	1141	99.825	3.30796	46.6	26.2
KI270337.1	1	1121	411	1121	100	203.015	43.3	21.3
KI270335.1	1	1048	2	349	33.3015	0.425573	51.4	33.5
KI270329.1	1	1040	1	333	32.0192	0.320192	27.1	0
KI270419.1	1	1029	2	842	81.827	1.45384	45.9	46.5
KI270336.1	1	1026	303	1026	100	132.569	43.7	15.5
KI270539.1	1	993	1	429	43.2024	0.432024	19.6	31
KI270385.1	1	990	1	262	26.4646	0.264646	55.9	1
KI270423.1	1	981	2	771	78.5933	0.785933	48.1	3
KI270394.1	1	970	1	591	60.9278	0.609278	45.8	32
KI270752.1	1	27745	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
