#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GL000194.1	1	191469	3162	191463	99.9969	167.234	43.7	45.6
KI270742.1	1	186739	3275	186739	100	160.388	43.9	37.1
GL000205.2	1	185591	3806	185589	99.9989	207.923	43.7	50.8
GL000195.1	1	182896	2566	182896	100	152.765	44	43.3
KI270736.1	1	181920	6067	170147	93.5285	349.57	41.9	21.2
KI270733.1	1	179772	18222	179772	100	860.063	40.3	21.3
GL000224.1	1	179693	7384	179693	100	375.622	43.4	44.1
GL000219.1	1	179198	2245	179198	100	118.492	44.5	53.1
KI270719.1	1	176845	1709	176845	100	88.7349	42.4	40.3
GL000216.2	1	176608	7465	176479	99.927	281.993	43.5	28.3
KI270712.1	1	176043	1010	176043	100	41.6681	43.5	32.3
KI270706.1	1	175055	1454	175055	100	76.6372	44.2	48.3
KI270725.1	1	172810	1551	172810	100	84.1857	42.7	50.1
KI270744.1	1	168472	5167	168472	100	190.958	43.1	35.5
KI270734.1	1	165050	2883	165038	99.9927	102.418	45.3	20.1
GL000213.1	1	164239	310	160503	97.7253	18.5225	44.6	33.6
GL000220.1	1	161802	24338	161788	99.9913	1617.25	41.4	13
KI270715.1	1	161471	697	161471	100	46.7458	43.4	20.5
GL000218.1	1	161147	1851	161147	100	114.513	44	47.8
KI270749.1	1	158759	1882	158759	100	113.752	42.2	54.8
KI270741.1	1	157432	379	152345	96.7688	20.9193	44.9	17.8
GL000221.1	1	155397	2100	155397	100	149.062	45	18.7
KI270716.1	1	153799	1067	153799	100	98.3528	44	14.3
KI270731.1	1	150754	896	150751	99.998	54.826	44.3	26
KI270751.1	1	150742	3085	150742	100	184.479	43.6	34.4
KI270750.1	1	148850	1792	148850	100	110.296	43.6	44.7
KI270519.1	1	138126	2097	138000	99.9088	142.061	43.2	43.8
GL000214.1	1	137718	4579	137718	100	345.175	43.5	32.6
KI270708.1	1	127682	781	127682	100	64.3332	44.1	54.2
KI270730.1	1	112551	2016	109121	96.9525	164.348	42.9	29.3
KI270438.1	1	112505	39234	84912	75.474	3250.28	43.1	32.4
KI270737.1	1	103838	565	103502	99.6764	43.8472	43.1	34.2
KI270721.1	1	100316	251	97178	96.8719	19.0325	41.6	9.92
KI270738.1	1	99375	1096	96194	96.799	90.6336	44.3	42.5
KI270748.1	1	93321	471	93321	100	52.8225	43.7	25.7
KI270435.1	1	92983	1420	92966	99.9817	119.596	44.2	47.7
GL000208.1	1	92689	1100	92689	100	107.374	45.7	50.3
KI270538.1	1	91309	1712	64539	70.682	156.43	44.6	47.5
KI270756.1	1	79590	1196	79590	100	104.99	43.2	25.5
KI270739.1	1	73985	146	73177	98.9079	14.5252	43	21.3
KI270757.1	1	71251	1970	62028	87.0556	254.36	43	42
KI270709.1	1	66860	11414	66860	100	1537.6	49.1	30.6
KI270746.1	1	66486	1381	66486	100	189.466	43.1	53.8
KI270753.1	1	62944	640	62901	99.9317	93.0459	44.2	36.7
KI270589.1	1	44474	362	35537	79.9051	42.1637	44.6	30.2
KI270726.1	1	43739	176	43739	100	29.1102	44.3	54.9
KI270735.1	1	42811	981	42811	100	212.784	43.2	46.9
KI270711.1	1	42210	640	42208	99.9953	93.6398	44.3	41.4
KI270745.1	1	41891	129	41889	99.9952	18.3376	44.9	32.1
KI270714.1	1	41717	225	41717	100	42.2045	43	46.2
KI270732.1	1	41543	652	41543	100	151.272	44.1	51.9
KI270713.1	1	40745	463	40745	100	80.239	43.2	44.4
KI270754.1	1	40191	1243	40191	100	312.526	42.9	27.6
KI270710.1	1	40176	372	40176	100	87.3217	43.3	44.7
KI270717.1	1	40062	159	40062	100	38.1167	42.9	35.6
KI270724.1	1	39555	654	39555	100	115.034	43.5	41.3
KI270720.1	1	39050	291	39050	100	49.8425	44	49.3
KI270723.1	1	38115	598	38115	100	115.56	43.2	43.3
KI270718.1	1	38054	516	38054	100	100.362	45.8	25.2
KI270317.1	1	37690	5	2378	6.30937	0.131547	33.4	10
KI270740.1	1	37240	12	37018	99.4039	4.07146	43.7	54.2
KI270755.1	1	36723	117	35365	96.302	26.3973	46	40.7
KI270707.1	1	32032	170	32032	100	46.7116	45.3	48
KI270579.1	1	31033	109	31033	100	35.1839	44.1	19.7
KI270512.1	1	22689	266	22687	99.9912	77.4959	44.9	48.6
KI270322.1	1	21476	27	6281	29.2466	1.55215	42.3	27.7
GL000226.1	1	15008	3288	15008	100	1649.82	44.6	5.85
KI270311.1	1	12399	12	2965	23.9132	0.908622	43.4	25.6
KI270366.1	1	8320	9	7576	91.0577	2.46526	36.5	15.2
KI270511.1	1	8127	140	8126	99.9877	89.3925	43.2	55.9
KI270448.1	1	7992	108	7992	100	69.1754	44.1	52.7
KI270521.1	1	7642	65	7642	100	42.6924	42.9	51.1
KI270581.1	1	7046	18	7046	100	5.54286	42.4	15.1
KI270582.1	1	6504	27	6197	95.2798	11.2652	45.8	42.8
KI270515.1	1	6361	201	6361	100	110.272	42.4	50.6
KI270588.1	1	6158	53	6155	99.9513	19.2303	39.5	45.5
KI270591.1	1	5796	130	5796	100	80.785	42.2	49.4
KI270522.1	1	5674	28	5674	100	14.519	43.4	47.3
KI270507.1	1	5353	48	5353	100	16.8657	43.1	44.2
KI270590.1	1	4685	137	4684	99.9787	63.1631	41.5	48.1
KI270584.1	1	4513	45	4513	100	24.372	44.3	54
KI270320.1	1	4416	86	4416	100	44.6739	44.1	26.6
KI270382.1	1	4215	7	4212	99.9288	2.95516	45.4	45
KI270468.1	1	4055	52	4055	100	33.8049	45	53.2
KI270467.1	1	3920	24687	3920	100	16657.1	43	47.1
KI270362.1	1	3530	1	3152	89.2918	0.892918	49.2	20
KI270517.1	1	3253	68	3253	100	42.7741	40.8	50.2
KI270593.1	1	3041	12	3041	100	6.13088	43.1	36.2
KI270528.1	1	2983	73	2982	99.9665	10.126	40.3	17.2
KI270587.1	1	2969	11	2969	100	6.78983	39.6	38.9
KI270364.1	1	2855	2	2323	81.366	1.49282	40.3	6.5
KI270371.1	1	2805	3	1495	53.2977	0.621747	35.3	9
KI270333.1	1	2699	4020	2699	100	2452.7	43.7	31.5
KI270374.1	1	2656	4	2503	94.2395	1.89759	38.4	3.75
KI270411.1	1	2646	6	2409	91.0431	2.07407	48.8	30
KI270414.1	1	2489	4	2245	90.1969	1.7501	42.8	29.5
KI270510.1	1	2415	34	2415	100	27.3888	39.1	22
KI270390.1	1	2387	2	1939	81.2317	1.08253	43.6	4
KI270375.1	1	2378	6	2369	99.6215	2.18545	45.8	15.2
KI270420.1	1	2321	11	2321	100	3.2947	45.7	26.2
KI270509.1	1	2318	24	2318	100	14.3024	42.5	47.3
KI270302.1	1	2274	5	2205	96.9657	1.65303	48.6	33.4
KI270518.1	1	2186	15	2186	100	8.91949	36.3	34.7
KI270530.1	1	2168	7	2168	100	4.75554	42.2	11
KI270304.1	1	2165	1	621	28.6836	0.286836	46.3	38
KI270418.1	1	2145	10	2142	99.8601	4.99114	43.9	31.1
KI270424.1	1	2140	3	1887	88.1776	1.85935	48.1	60
KI270417.1	1	2043	12	2043	100	5.76701	48.4	57
KI270508.1	1	1951	18	1951	100	8.46797	44.8	51.3
KI270303.1	1	1942	12	1941	99.9485	6.22245	41.2	19.1
KI270381.1	1	1930	11	1930	100	6.1456	43.7	11.6
KI270529.1	1	1899	26	1899	100	10.6956	44.3	31.4
KI270396.1	1	1880	6	1880	100	3.56436	48.4	18.8
KI270363.1	1	1803	4	1802	99.9445	1.96617	50.7	21.8
KI270386.1	1	1788	3	1519	84.9553	1.20358	43.6	28.7
KI270465.1	1	1774	28	1774	100	11.5643	46.4	28.7
KI270384.1	1	1658	2	799	48.1906	0.481906	38.5	15.5
KI270330.1	1	1652	114	1652	100	57.9661	42.9	36.5
KI270580.1	1	1553	8	1506	96.9736	3.54153	50.7	42.2
KI270387.1	1	1537	1	337	21.9258	0.219258	38.1	0
KI270391.1	1	1484	1	324	21.8329	0.218329	34.8	1
KI270305.1	1	1472	4	1425	96.8071	1.58084	42.9	36.8
KI270422.1	1	1445	4	1443	99.8616	2.66505	45.4	16.5
KI270316.1	1	1444	1	397	27.4931	0.274931	33.8	1
KI270340.1	1	1428	17	1428	100	8.35644	47.9	28.6
KI270338.1	1	1428	3	1428	100	2.96429	48.5	1
KI270583.1	1	1400	7	1397	99.7857	3.93071	51.9	33.9
KI270334.1	1	1368	11	1368	100	9.72442	44.7	20.8
KI270429.1	1	1361	5	1339	98.3835	1.87436	44.1	34.8
KI270393.1	1	1308	4	1131	86.4679	2.49924	48.7	14.8
KI270516.1	1	1300	64	1300	100	56.1562	40.4	56.5
KI270466.1	1	1233	2146	1233	100	1373.41	42.9	39.4
KI270388.1	1	1216	2	507	41.6941	0.554276	43.3	0
KI270544.1	1	1202	15	1180	98.1697	6.67055	45.8	6.67
KI270310.1	1	1201	5	1200	99.9167	2.56953	39.6	1
KI270412.1	1	1179	1	1067	90.5004	0.905004	48.3	60
KI270395.1	1	1143	6	1141	99.825	4.0035	43.6	17.7
KI270337.1	1	1121	878	1121	100	464.521	42.8	21.3
KI270335.1	1	1048	4	663	63.2634	0.830153	50.5	31.8
KI270378.1	1	1048	2	337	32.1565	0.634542	37.3	7
KI270329.1	1	1040	3	432	41.5385	0.744231	38.4	2.67
KI270419.1	1	1029	3	986	95.8212	2.40622	42.8	51
KI270336.1	1	1026	611	1026	100	257.246	42.7	15.5
KI270539.1	1	993	1	429	43.2024	0.432024	19.6	31
KI270385.1	1	990	1	262	26.4646	0.264646	55.9	1
KI270423.1	1	981	2	771	78.5933	0.785933	48.1	3
KI270392.1	1	971	1	640	65.9114	0.659114	50.6	47
KI270394.1	1	970	1	591	60.9278	0.609278	45.8	32
KI270752.1	1	27745	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
