#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GL000221.1	1	155397	67	153253	98.6203	4.88639	44.6	17
KI270716.1	1	153799	39	148843	96.7776	3.80834	43.9	15.9
KI270731.1	1	150754	21	102431	67.9458	1.15645	44.6	20
KI270751.1	1	150742	75	141677	93.9864	5.78721	41.8	37
KI270750.1	1	148850	47	109997	73.8979	2.32245	45.3	44
KI270519.1	1	138126	54	132751	96.1086	3.44498	44.5	47.7
GL000214.1	1	137718	113	133684	97.0708	8.44436	43.8	29.4
KI270708.1	1	127682	13	92878	72.7417	1.23257	44.4	57.5
KI270730.1	1	112551	34	58745	52.1941	1.51264	41.7	17.7
KI270438.1	1	112505	1010	83431	74.1576	83.9639	43.3	33.5
KI270737.1	1	103838	10	40668	39.1649	0.535623	47	25
KI270721.1	1	100316	3	19119	19.0588	0.222447	44.3	11
KI270738.1	1	99375	36	79484	79.9839	2.74494	42.2	45.5
KI270748.1	1	93321	12	80016	85.7428	1.3698	41.5	18.2
KI270435.1	1	92983	28	82317	88.5291	2.44696	46.4	44.3
GL000208.1	1	92689	13	74183	80.0343	1.3237	44.9	41.5
KI270538.1	1	91309	59	62796	68.7731	5.51073	44.6	48.6
KI270756.1	1	79590	44	66933	84.0972	3.22479	41.2	21.9
KI270739.1	1	73985	3	11819	15.9749	0.159749	47.3	9
KI270757.1	1	71251	57	58785	82.5041	6.84824	43.7	40.5
KI270709.1	1	66860	278	66846	99.9791	36.373	48.4	30.3
KI270746.1	1	66486	43	57808	86.9476	5.35186	42.1	53.1
KI270753.1	1	62944	14	44442	70.6056	2.48729	46.2	38.8
KI270589.1	1	44474	8	30030	67.5226	1.11667	45.1	26.5
KI270726.1	1	43739	4	17903	40.9314	0.425798	48.2	60
KI270735.1	1	42811	22	42810	99.9977	4.23349	44.7	53.7
KI270711.1	1	42210	12	30693	72.715	1.443	46.8	42.3
KI270745.1	1	41891	6	24987	59.6477	0.62338	47.2	25.2
KI270714.1	1	41717	5	16261	38.9793	0.790565	45.8	39.4
KI270732.1	1	41543	17	41073	98.8686	3.68589	44	45.8
KI270713.1	1	40745	11	37945	93.128	2.06506	42.9	47.4
KI270754.1	1	40191	32	34055	84.7329	8.11537	43.7	31.1
KI270710.1	1	40176	5	28173	70.124	1.11216	40.3	60
KI270717.1	1	40062	5	21199	52.9155	1.09066	46.3	28.4
KI270724.1	1	39555	19	37060	93.6923	2.10739	44.6	34.5
KI270720.1	1	39050	7	20401	52.2433	0.725147	47.5	37.9
KI270723.1	1	38115	6	20828	54.6452	0.884298	37.8	47
KI270718.1	1	38054	13	33862	88.9841	2.78462	40.3	31.3
KI270755.1	1	36723	1	681	1.85442	0.0185442	47.6	24
KI270707.1	1	32032	5	20763	64.8196	1.39286	36	58.6
KI270579.1	1	31033	2	25999	83.7786	0.951278	48	8.5
KI270512.1	1	22689	8	18172	80.0917	1.69695	48.1	57.4
GL000226.1	1	15008	75	15008	100	37.7703	45.7	6.59
KI270311.1	1	12399	2	1578	12.7268	0.231793	41	35.5
KI270366.1	1	8320	1	633	7.60817	0.0760817	35	17
KI270511.1	1	8127	3	8116	99.8646	1.93872	42	60
KI270448.1	1	7992	2	7978	99.8248	1.2535	44.3	60
KI270521.1	1	7642	3	7641	99.9869	2.29377	33.6	40.3
KI270582.1	1	6504	1	1435	22.0633	0.220633	34.6	29
KI270515.1	1	6361	8	6359	99.9686	5.03521	41	58.1
KI270588.1	1	6158	2	5964	96.8496	1.91897	37.9	60
KI270591.1	1	5796	4	5788	99.862	1.81108	43.5	51.8
KI270522.1	1	5674	1	5450	96.0522	0.960522	15.6	49
KI270590.1	1	4685	3	4668	99.6371	1.41772	36.8	60
KI270320.1	1	4416	2	1513	34.2618	0.456522	46	7
KI270382.1	1	4215	1	2680	63.5824	0.635824	48.4	60
KI270468.1	1	4055	1	4042	99.6794	0.996794	46.2	60
KI270467.1	1	3920	622	3920	100	415.793	43.4	47.5
KI270517.1	1	3253	3	3246	99.7848	1.7968	47.4	58
KI270528.1	1	2983	2	904	30.3051	0.379819	44.1	8.5
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	117	2699	100	73.7721	42.9	31.7
KI270411.1	1	2646	1	1347	50.907	0.50907	46.9	36
KI270510.1	1	2415	1	2412	99.8758	0.998758	44	1
KI270375.1	1	2378	1	2357	99.1169	0.991169	49.9	35
KI270417.1	1	2043	1	245	11.9922	0.119922	42	60
KI270508.1	1	1951	1	824	42.2348	0.422348	48.8	60
KI270384.1	1	1658	1	460	27.7443	0.277443	32.3	30
KI270330.1	1	1652	3	1652	100	2.00545	46.2	18
KI270516.1	1	1300	1	1298	99.8462	0.998462	43.6	60
KI270466.1	1	1233	67	1233	100	40.4258	42.9	41.3
KI270337.1	1	1121	22	1118	99.7324	11.6905	41.9	23.3
KI270336.1	1	1026	17	1026	100	7.00877	42.6	19.8
KI270317.1	1	37690	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
