#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270589.1	1	44474	4	28240	63.4978	0.881706	45.2	28.5
KI270726.1	1	43739	1	2630	6.01294	0.0601294	51.3	60
KI270735.1	1	42811	8	32873	76.7863	1.43564	45.9	56.9
KI270711.1	1	42210	6	29212	69.2063	0.961123	46.2	51.5
KI270745.1	1	41891	3	22868	54.5893	0.556563	48	35.7
KI270714.1	1	41717	2	13837	33.1687	0.42225	43.7	60
KI270732.1	1	41543	6	39413	94.8728	1.571	40.7	42.2
KI270713.1	1	40745	4	23940	58.7557	0.932728	45.6	32.5
KI270754.1	1	40191	5	20208	50.2799	1.29347	41.2	36.8
KI270710.1	1	40176	2	15025	37.3979	0.389038	43.8	60
KI270717.1	1	40062	2	9623	24.0203	0.240203	42.2	13
KI270724.1	1	39555	10	36906	93.303	1.60319	44.8	37
KI270720.1	1	39050	3	13373	34.2458	0.342458	49.6	43.3
KI270723.1	1	38115	2	17656	46.323	0.483353	41.1	60
KI270718.1	1	38054	7	30456	80.0336	1.55855	35.6	27.3
KI270707.1	1	32032	3	17689	55.2229	0.737856	29.7	57.7
KI270579.1	1	31033	1	19746	63.629	0.63629	48.3	16
KI270512.1	1	22689	1	8117	35.775	0.35775	44.3	60
GL000226.1	1	15008	31	15008	100	14.454	45.2	6.35
KI270366.1	1	8320	1	633	7.60817	0.0760817	35	17
KI270511.1	1	8127	2	8112	99.8154	1.32201	46.6	60
KI270448.1	1	7992	1	7975	99.7873	0.997873	47.2	60
KI270521.1	1	7642	1	7553	98.8354	0.988354	38.4	60
KI270582.1	1	6504	1	1435	22.0633	0.220633	34.6	29
KI270515.1	1	6361	6	6359	99.9686	3.06053	44.7	58.2
KI270591.1	1	5796	3	3611	62.3016	0.816598	44.6	49
KI270320.1	1	4416	2	1513	34.2618	0.456522	46	7
KI270382.1	1	4215	1	2680	63.5824	0.635824	48.4	60
KI270468.1	1	4055	1	4042	99.6794	0.996794	46.2	60
KI270467.1	1	3920	251	3918	99.949	169.43	44	47.8
KI270517.1	1	3253	2	3242	99.6619	1.21949	47.5	60
KI270528.1	1	2983	1	235	7.87798	0.0787798	47.9	4
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	39	2699	100	24.8218	45.2	31.5
KI270330.1	1	1652	1	1626	98.4262	0.984262	47.9	2
KI270516.1	1	1300	1	1298	99.8462	0.998462	43.6	60
KI270466.1	1	1233	36	1233	100	23.5385	42.1	44.3
KI270337.1	1	1121	13	1118	99.7324	7.12935	42.7	27
KI270336.1	1	1026	4	577	56.2378	1.33041	41.5	12.5
KI270317.1	1	37690	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270755.1	1	36723	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
