#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270741.1	1	157432	86	144468	91.7653	4.4833	44.8	16.6
GL000221.1	1	155397	507	154338	99.3185	36.145	45	19.1
KI270716.1	1	153799	303	153559	99.844	27.7072	44.2	13.1
KI270731.1	1	150754	226	150735	99.9874	13.2111	43.3	24.5
KI270751.1	1	150742	810	150741	99.9993	49.0313	43.3	34.3
KI270750.1	1	148850	438	148848	99.9987	25.2057	43.7	44.6
KI270519.1	1	138126	535	137827	99.7835	37.7415	43.5	45.4
GL000214.1	1	137718	1207	137718	100	87.8777	43.6	32.9
KI270708.1	1	127682	180	127681	99.9992	14.8411	44.3	51.4
KI270730.1	1	112551	446	105611	93.8339	31.9362	43.2	28.1
KI270438.1	1	112505	9824	84211	74.8509	820.726	42.9	32.3
KI270737.1	1	103838	121	101569	97.8149	10.5041	43.7	37.2
KI270721.1	1	100316	70	95713	95.4115	5.45821	42.1	8.27
KI270738.1	1	99375	278	96003	96.6068	22.4076	43.8	42.5
KI270748.1	1	93321	99	92382	98.9938	9.81792	44.2	25.3
KI270435.1	1	92983	349	92962	99.9774	30.9774	44.4	47.5
GL000208.1	1	92689	256	92689	100	25.0466	45.6	50.2
KI270538.1	1	91309	457	64245	70.36	44.1445	44.8	46.9
KI270756.1	1	79590	333	79590	100	29.1952	43.1	26.5
KI270739.1	1	73985	29	53986	72.9688	2.54994	45.4	22.9
KI270757.1	1	71251	506	62021	87.0458	65.0295	43.2	41.5
KI270709.1	1	66860	2839	66860	100	388.527	48.7	30.7
KI270746.1	1	66486	346	66486	100	45.4513	42.9	54.2
KI270753.1	1	62944	158	62901	99.9317	23.3422	44.8	38.3
KI270589.1	1	44474	90	35338	79.4577	10.6387	45.6	31.2
KI270726.1	1	43739	52	43738	99.9977	8.76227	45.2	55.3
KI270735.1	1	42811	246	42811	100	54.7175	42.7	46.6
KI270711.1	1	42210	153	42208	99.9953	20.5247	43.7	39.5
KI270745.1	1	41891	38	41298	98.5844	5.03285	46.7	27
KI270714.1	1	41717	66	39259	94.1079	12.0028	44.8	47.7
KI270732.1	1	41543	156	41542	99.9976	37.132	43.5	52.9
KI270713.1	1	40745	117	40744	99.9975	18.1669	43.2	43.6
KI270754.1	1	40191	286	40179	99.9701	74.4207	43.2	27.6
KI270710.1	1	40176	86	40176	100	19.0323	43	46.7
KI270717.1	1	40062	43	40055	99.9825	10.963	43.1	32.1
KI270724.1	1	39555	164	39555	100	26.0946	43.1	40.7
KI270720.1	1	39050	76	39049	99.9974	11.6847	43.3	49
KI270723.1	1	38115	147	38115	100	28.3534	43.5	43.8
KI270718.1	1	38054	141	37964	99.7635	27.7235	45.8	25.5
KI270317.1	1	37690	3	2012	5.33829	0.0838419	40.3	1
KI270740.1	1	37240	2	16193	43.4828	0.533298	48.6	60
KI270755.1	1	36723	25	31918	86.9156	5.3305	44.2	38.2
KI270707.1	1	32032	50	32032	100	13.1543	45	48.6
KI270579.1	1	31033	33	31032	99.9968	8.73854	44.4	17.5
KI270512.1	1	22689	62	22686	99.9868	18.9809	45.1	50.1
KI270322.1	1	21476	5	1949	9.07525	0.145744	44.7	36.6
GL000226.1	1	15008	815	15008	100	415.962	44.7	5.87
KI270311.1	1	12399	7	2963	23.8971	0.538592	43.2	23.9
KI270366.1	1	8320	3	5937	71.3582	0.713582	44	14
KI270511.1	1	8127	30	8125	99.9754	17.7201	43.8	56.4
KI270448.1	1	7992	24	7992	100	14.2142	44.8	57.8
KI270521.1	1	7642	19	7642	100	12.1369	41.1	50.9
KI270581.1	1	7046	1	1621	23.006	0.23006	51.4	14
KI270582.1	1	6504	9	6195	95.2491	4.11808	46.4	41.4
KI270515.1	1	6361	49	6360	99.9843	23.5858	42.6	50
KI270588.1	1	6158	18	6154	99.935	5.89363	39.2	44.6
KI270591.1	1	5796	31	5796	100	19.952	42.5	49.6
KI270522.1	1	5674	9	5664	99.8238	5.22224	38.2	51.8
KI270507.1	1	5353	7	5352	99.9813	2.25107	37.5	45.9
KI270590.1	1	4685	28	4684	99.9787	13.7229	42.2	48.9
KI270584.1	1	4513	5	4513	100	3.07179	47.8	52.6
KI270320.1	1	4416	21	4415	99.9774	10.4056	43.4	26.1
KI270382.1	1	4215	4	4145	98.3393	1.59051	45.5	42.5
KI270468.1	1	4055	10	4055	100	6.51048	43.8	54.1
KI270467.1	1	3920	6408	3920	100	4336.72	43.1	47.3
KI270517.1	1	3253	15	3253	100	9.6806	42.8	51.5
KI270593.1	1	3041	3	3041	100	2.55442	45.8	24.7
KI270528.1	1	2983	19	2427	81.361	2.64499	43.9	21.8
KI270587.1	1	2969	1	2131	71.775	0.71775	36	60
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	1007	2699	100	611.337	43.6	31.4
KI270411.1	1	2646	3	1415	53.4769	1.23469	48.6	36.7
KI270414.1	1	2489	2	837	33.628	0.33628	50.3	16
KI270510.1	1	2415	10	2415	100	9.19048	38.9	19.8
KI270375.1	1	2378	1	2357	99.1169	0.991169	49.9	35
KI270420.1	1	2321	3	2227	95.95	1.12452	42.3	32.3
KI270509.1	1	2318	5	2318	100	2.14495	47.5	46.4
KI270518.1	1	2186	5	2186	100	2.78545	32.8	35.6
KI270304.1	1	2165	1	621	28.6836	0.286836	46.3	38
KI270418.1	1	2145	2	2047	95.4312	1.22378	33.5	27.5
KI270424.1	1	2140	2	1887	88.1776	1.75981	48.1	60
KI270417.1	1	2043	5	2043	100	2.35879	49	52.8
KI270508.1	1	1951	6	1951	100	4.27627	44	56.2
KI270303.1	1	1942	7	1940	99.897	4.20031	40.2	20.3
KI270529.1	1	1899	6	1899	100	2.41969	44.6	30.7
KI270396.1	1	1880	1	712	37.8723	0.378723	50.8	9
KI270363.1	1	1803	1	344	19.0793	0.190793	49.5	20
KI270386.1	1	1788	1	1519	84.9553	0.849553	44.1	60
KI270465.1	1	1774	8	1773	99.9436	3.42446	46.1	26.8
KI270384.1	1	1658	1	460	27.7443	0.277443	32.3	30
KI270330.1	1	1652	33	1652	100	14.2627	43.8	34.9
KI270580.1	1	1553	4	927	59.6909	1.43657	48.9	38.2
KI270422.1	1	1445	1	842	58.2699	0.582699	41.9	1
KI270316.1	1	1444	1	397	27.4931	0.274931	33.8	1
KI270340.1	1	1428	4	1096	76.7507	1.39426	49.8	23.8
KI270338.1	1	1428	1	1387	97.1289	0.971289	48.4	1
KI270583.1	1	1400	2	1066	76.1429	0.937143	53.4	43
KI270334.1	1	1368	2	1299	94.9561	1.77047	39.2	60
KI270393.1	1	1308	1	879	67.2018	0.672018	49.8	49
KI270516.1	1	1300	12	1300	100	9.41077	41.3	51.2
KI270466.1	1	1233	582	1233	100	381.046	42.8	40.4
KI270388.1	1	1216	1	378	31.0855	0.310855	46.9	0
KI270544.1	1	1202	4	774	64.3927	1.51581	47.2	7
KI270310.1	1	1201	1	321	26.7277	0.267277	47.7	1
KI270395.1	1	1143	3	1141	99.825	2.3937	47.6	27
KI270337.1	1	1121	199	1121	100	101.283	43.7	21.4
KI270335.1	1	1048	1	347	33.1107	0.331107	51.7	60
KI270336.1	1	1026	142	1026	100	61.3421	43.9	15.5
KI270423.1	1	981	1	268	27.3191	0.273191	48.1	1
KI270752.1	1	27745	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
