#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270736.1	1	181920	630	169807	93.3416	35.5508	41.4	21
KI270733.1	1	179772	1913	178712	99.4104	88.7055	40.3	20.9
GL000224.1	1	179693	774	179693	100	38.8136	43.3	44.9
GL000219.1	1	179198	237	175723	98.0608	12.434	45	54.2
KI270719.1	1	176845	174	170815	96.5902	9.78553	43.6	39.7
GL000216.2	1	176608	711	176436	99.9026	28.1013	43.4	28.9
KI270712.1	1	176043	109	171826	97.6046	4.0543	43.6	32.9
KI270706.1	1	175055	134	175051	99.9977	6.41281	43.7	48.5
KI270725.1	1	172810	171	172805	99.9971	9.01279	42.2	47.8
KI270744.1	1	168472	537	168341	99.9222	19.1049	42.7	35.5
KI270734.1	1	165050	278	158311	95.917	10.1314	45.3	20.1
GL000213.1	1	164239	31	135026	82.2131	1.95672	46.6	37.1
GL000220.1	1	161802	2430	146110	90.3017	158.953	41.5	13.1
KI270715.1	1	161471	75	159274	98.6394	4.84916	45.7	20.1
GL000218.1	1	161147	163	161105	99.9739	10.7279	44	45.9
KI270749.1	1	158759	167	158746	99.9918	10.384	41.7	55.6
KI270741.1	1	157432	39	130459	82.8669	1.72089	44.1	14
GL000221.1	1	155397	235	153707	98.9125	17.1132	45.3	19.9
KI270716.1	1	153799	146	150749	98.0169	13.9838	43.9	13.2
KI270731.1	1	150754	86	150510	99.8381	4.52527	43.7	24.8
KI270751.1	1	150742	343	150734	99.9947	20.2575	42.8	33.9
KI270750.1	1	148850	152	148823	99.9819	7.78981	44.3	42.6
KI270519.1	1	138126	201	136109	98.5397	13.6116	43.7	45.3
GL000214.1	1	137718	475	135744	98.5666	34.6988	43.7	33.1
KI270708.1	1	127682	70	127675	99.9945	5.0923	44.6	51.7
KI270730.1	1	112551	166	102488	91.0592	10.2697	42.7	25.6
KI270438.1	1	112505	3950	84060	74.7167	326.7	42.9	32.8
KI270737.1	1	103838	37	78065	75.1796	3.10409	43.5	39.8
KI270721.1	1	100316	23	81155	80.8994	2.08927	41.9	12
KI270738.1	1	99375	111	95994	96.5977	9.27525	43.8	44.4
KI270748.1	1	93321	44	88794	95.149	4.50717	44.5	22.6
KI270435.1	1	92983	108	92948	99.9624	9.90082	44	47
GL000208.1	1	92689	96	92689	100	10.9407	46.2	50.7
KI270538.1	1	91309	187	63864	69.9427	17.7993	44.9	48.7
KI270756.1	1	79590	126	78982	99.2361	9.6681	42.5	24.5
KI270739.1	1	73985	13	41432	56.0005	1.1072	45	26.2
KI270757.1	1	71251	218	61860	86.8198	26.1815	43.6	41.5
KI270709.1	1	66860	1142	66850	99.985	155.33	48.8	30.2
KI270746.1	1	66486	125	64348	96.7843	16.0726	42.9	54.7
KI270753.1	1	62944	61	57018	90.5853	8.90774	45.2	38.9
KI270589.1	1	44474	32	31811	71.5272	2.99038	43.9	25.8
KI270726.1	1	43739	23	42507	97.1833	4.5314	44.9	51.7
KI270735.1	1	42811	99	42811	100	19.5161	43.5	44.9
KI270711.1	1	42210	49	37882	89.7465	6.23106	45.6	39.3
KI270745.1	1	41891	13	34129	81.471	1.39149	45.1	23.3
KI270714.1	1	41717	32	39252	94.0911	6.61025	44.8	49.6
KI270732.1	1	41543	64	41540	99.9928	14.8735	43.4	50.9
KI270713.1	1	40745	52	39850	97.8034	8.17902	43.2	46.5
KI270754.1	1	40191	109	39575	98.4673	28.7115	43.6	27.7
KI270710.1	1	40176	35	40176	100	7.46963	41.4	43.3
KI270717.1	1	40062	21	39502	98.6022	5.58072	41.7	26.4
KI270724.1	1	39555	69	39555	100	10.0543	44	38.5
KI270720.1	1	39050	28	39042	99.9795	3.77245	42.5	42.9
KI270723.1	1	38115	61	38115	100	10.6253	44.1	41.4
KI270718.1	1	38054	63	37012	97.2618	13.94	45.2	28.1
KI270317.1	1	37690	3	2012	5.33829	0.0838419	40.3	1
KI270740.1	1	37240	1	3671	9.85768	0.0985768	46.5	60
KI270755.1	1	36723	11	25284	68.8506	1.28576	43.1	34.6
KI270707.1	1	32032	22	32032	100	6.44203	45.1	47.5
KI270579.1	1	31033	14	31032	99.9968	4.55283	45.5	16.4
KI270512.1	1	22689	33	22686	99.9868	9.44414	46	52.5
KI270322.1	1	21476	2	1070	4.98231	0.0650028	44.7	53.5
GL000226.1	1	15008	341	15008	100	177.796	45.4	6.25
KI270311.1	1	12399	4	2906	23.4374	0.396806	44.2	25.2
KI270366.1	1	8320	1	633	7.60817	0.0760817	35	17
KI270511.1	1	8127	12	8123	99.9508	8.23686	43.6	59.5
KI270448.1	1	7992	11	7992	100	7.10373	44.4	60
KI270521.1	1	7642	10	7642	100	6.31379	38.7	49.5
KI270582.1	1	6504	2	5019	77.1679	0.992005	41.5	44.5
KI270515.1	1	6361	24	6360	99.9843	13.1473	41.1	57
KI270588.1	1	6158	10	5964	96.8496	3.51218	37.5	44.7
KI270591.1	1	5796	10	5796	100	6.6646	38.4	56.2
KI270522.1	1	5674	1	5450	96.0522	0.960522	15.6	49
KI270507.1	1	5353	1	853	15.935	0.15935	45.6	56
KI270590.1	1	4685	10	4684	99.9787	4.65934	41.1	47.8
KI270584.1	1	4513	2	4512	99.9778	1.94239	46.7	41.5
KI270320.1	1	4416	9	3973	89.9683	4.01517	44.5	10
KI270382.1	1	4215	1	2680	63.5824	0.635824	48.4	60
KI270468.1	1	4055	4	4055	100	3.14057	47.1	45.2
KI270467.1	1	3920	2452	3920	100	1651.67	43	47.1
KI270517.1	1	3253	8	3247	99.8156	5.1949	44.2	56.8
KI270593.1	1	3041	1	2138	70.3058	0.703058	46.7	60
KI270528.1	1	2983	4	1050	35.1995	0.63292	45.8	25.2
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	401	2699	100	245.24	43.5	31.4
KI270411.1	1	2646	1	1347	50.907	0.50907	46.9	36
KI270414.1	1	2489	1	220	8.83889	0.0883889	45.6	2
KI270510.1	1	2415	4	2415	100	3.95611	38.2	26.8
KI270375.1	1	2378	1	2357	99.1169	0.991169	49.9	35
KI270420.1	1	2321	1	385	16.5877	0.165877	47.6	22
KI270509.1	1	2318	1	836	36.0656	0.360656	46.9	48
KI270518.1	1	2186	1	1523	69.6706	0.696706	33.5	1
KI270418.1	1	2145	1	849	39.5804	0.395804	18.4	23
KI270417.1	1	2043	3	570	27.9001	0.366618	47.9	48
KI270508.1	1	1951	2	1839	94.2594	1.36084	31.9	60
KI270303.1	1	1942	2	1599	82.3378	1.17405	47.9	4.5
KI270529.1	1	1899	3	1396	73.5124	1.04002	45.9	34.3
KI270363.1	1	1803	1	344	19.0793	0.190793	49.5	20
KI270386.1	1	1788	1	1519	84.9553	0.849553	44.1	60
KI270465.1	1	1774	2	1563	88.106	1.25705	42.3	17.5
KI270384.1	1	1658	1	460	27.7443	0.277443	32.3	30
KI270330.1	1	1652	10	1652	100	5.67252	44.4	28.3
KI270422.1	1	1445	1	842	58.2699	0.582699	41.9	1
KI270340.1	1	1428	2	1088	76.1905	0.761905	48.5	39
KI270338.1	1	1428	1	1387	97.1289	0.971289	48.4	1
KI270583.1	1	1400	2	1066	76.1429	0.937143	53.4	43
KI270334.1	1	1368	1	1297	94.8099	0.948099	39.9	60
KI270516.1	1	1300	7	1300	100	6.26846	40.9	60
KI270466.1	1	1233	236	1233	100	152.241	42.4	40.8
KI270544.1	1	1202	2	395	32.8619	0.599834	47.3	0.5
KI270337.1	1	1121	78	1121	100	38.5433	43.3	25.1
KI270335.1	1	1048	1	347	33.1107	0.331107	51.7	60
KI270336.1	1	1026	56	1026	100	23.1628	42.3	14.8
KI270423.1	1	981	1	268	27.3191	0.273191	48.1	1
KI270752.1	1	27745	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
